Season,Team_name,Id,Squad_num,Player_name,Player_name_en,National
2021,인천,20020069,3,김광석,KWANG SUK KIM,한국
2020,포항,20020069,3,김광석,KWANG SUK KIM,한국
2019,포항,20020069,3,김광석,KWANG SUK KIM,한국
2018,포항,20020069,3,김광석,KWANG SUK KIM,한국
2017,포항,20020069,3,김광석,KWANG SUK KIM,한국
2016,포항,20020069,3,김광석,KWANG SUK KIM,한국
2015,포항,20020069,3,김광석,KWANG SUK KIM,한국
2014,포항,20020069,3,김광석,KWANG SUK KIM,한국
2013,포항,20020069,3,김광석,KWANG SUK KIM,한국
2012,포항,20020069,3,김광석,KWANG SUK KIM,한국
2011,포항,20020069,3,김광석,KWANG SUK KIM,한국
2010,포항,20020069,3,김광석,KWANG SUK KIM,한국
2009,포항,20020069,3,김광석,KWANG SUK KIM,한국
2008,포항,20020069,3,김광석,KWANG SUK KIM,한국
2007,포항,20020069,3,김광석,KWANG SUK KIM,한국
2006,광주상무,20020069,3,김광석,KWANG SUK KIM,한국
2005,광주상무,20020069,3,김광석,KWANG SUK KIM,한국
2004,포항,20020069,3,김광석,KWANG SUK KIM,한국
2003,포항,20020069,3,김광석,KWANG SUK KIM,한국
2021,성남,20020081,41,김영광,Youngkwang KIM,한국
2020,성남,20020081,41,김영광,Youngkwang KIM,한국
2019,서울E,20020081,41,김영광,Youngkwang KIM,한국
2018,서울E,20020081,41,김영광,Youngkwang KIM,한국
2017,서울E,20020081,41,김영광,Youngkwang KIM,한국
2016,서울E,20020081,41,김영광,Youngkwang KIM,한국
2015,서울E,20020081,41,김영광,Youngkwang KIM,한국
2014,경남,20020081,41,김영광,Youngkwang KIM,한국
2013,울산,20020081,41,김영광,Youngkwang KIM,한국
2012,울산,20020081,41,김영광,Youngkwang KIM,한국
2011,울산,20020081,41,김영광,Youngkwang KIM,한국
2010,울산,20020081,41,김영광,Youngkwang KIM,한국
2009,울산,20020081,41,김영광,Youngkwang KIM,한국
2008,울산,20020081,41,김영광,Youngkwang KIM,한국
2007,울산,20020081,41,김영광,Youngkwang KIM,한국
2006,전남,20020081,41,김영광,Youngkwang KIM,한국
2005,전남,20020081,41,김영광,Youngkwang KIM,한국
2004,전남,20020081,41,김영광,Youngkwang KIM,한국
2003,전남,20020081,41,김영광,Youngkwang KIM,한국
2002,전남,20020081,41,김영광,Youngkwang KIM,한국
2021,울산,20030037,22,고명진,Myongjin KOH,한국
2020,울산,20030037,22,고명진,Myongjin KOH,한국
2015,서울,20030037,22,고명진,Myongjin KOH,한국
2014,서울,20030037,22,고명진,Myongjin KOH,한국
2013,서울,20030037,22,고명진,Myongjin KOH,한국
2012,서울,20030037,22,고명진,Myongjin KOH,한국
2011,서울,20030037,22,고명진,Myongjin KOH,한국
2010,서울,20030037,22,고명진,Myongjin KOH,한국
2009,서울,20030037,22,고명진,Myongjin KOH,한국
2008,서울,20030037,22,고명진,Myongjin KOH,한국
2007,서울,20030037,22,고명진,Myongjin KOH,한국
2006,서울,20030037,22,고명진,Myongjin KOH,한국
2005,서울,20030037,22,고명진,Myongjin KOH,한국
2004,서울,20030037,22,고명진,Myongjin KOH,한국
2016,전북,20030075,35,이호,LEE Ho,한국
2015,전북,20030075,35,이호,LEE Ho,한국
2014,울산,20030075,35,이호,LEE Ho,한국
2013,상주,20030075,35,이호,LEE Ho,한국
2012,울산,20030075,35,이호,LEE Ho,한국
2011,울산,20030075,35,이호,LEE Ho,한국
2009,성남,20030075,35,이호,LEE Ho,한국
2006,울산,20030075,35,이호,LEE Ho,한국
2005,울산,20030075,35,이호,LEE Ho,한국
2004,울산,20030075,35,이호,LEE Ho,한국
2003,울산,20030075,35,이호,LEE Ho,한국
2021,포항,20030104,14,오범석,Beomseok OH,한국
2020,포항,20030104,14,오범석,Beomseok OH,한국
2019,강원,20030104,14,오범석,Beomseok OH,한국
2018,강원,20030104,14,오범석,Beomseok OH,한국
2017,강원,20030104,14,오범석,Beomseok OH,한국
2015,수원,20030104,14,오범석,Beomseok OH,한국
2014,수원,20030104,14,오범석,Beomseok OH,한국
2013,경찰,20030104,14,오범석,Beomseok OH,한국
2012,수원,20030104,14,오범석,Beomseok OH,한국
2011,수원,20030104,14,오범석,Beomseok OH,한국
2010,울산,20030104,14,오범석,Beomseok OH,한국
2009,울산,20030104,14,오범석,Beomseok OH,한국
2007,포항,20030104,14,오범석,Beomseok OH,한국
2006,포항,20030104,14,오범석,Beomseok OH,한국
2005,포항,20030104,14,오범석,Beomseok OH,한국
2004,포항,20030104,14,오범석,Beomseok OH,한국
2003,포항,20030104,14,오범석,Beomseok OH,한국
2021,대구,20040044,22,이근호,LEE Keunho,한국
2020,울산,20040044,22,이근호,LEE Keunho,한국
2019,울산,20040044,22,이근호,LEE Keunho,한국
2018,울산,20040044,22,이근호,LEE Keunho,한국
2017,강원,20040044,22,이근호,LEE Keunho,한국
2016,제주,20040044,22,이근호,LEE Keunho,한국
2015,전북,20040044,22,이근호,LEE Keunho,한국
2014,상주,20040044,22,이근호,LEE Keunho,한국
2013,상주,20040044,22,이근호,LEE Keunho,한국
2012,울산,20040044,22,이근호,LEE Keunho,한국
2008,대구,20040044,22,이근호,LEE Keunho,한국
2007,대구,20040044,22,이근호,LEE Keunho,한국
2006,인천,20040044,22,이근호,LEE Keunho,한국
2005,인천,20040044,22,이근호,LEE Keunho,한국
2021,인천,20040066,2,김창수,CHANG SOO KIM,한국
2020,광주,20040066,2,김창수,CHANG SOO KIM,한국
2019,울산,20040066,2,김창수,CHANG SOO KIM,한국
2018,울산,20040066,2,김창수,CHANG SOO KIM,한국
2017,울산,20040066,2,김창수,CHANG SOO KIM,한국
2016,전북,20040066,2,김창수,CHANG SOO KIM,한국
2012,부산,20040066,2,김창수,CHANG SOO KIM,한국
2011,부산,20040066,2,김창수,CHANG SOO KIM,한국
2010,부산,20040066,2,김창수,CHANG SOO KIM,한국
2009,부산,20040066,2,김창수,CHANG SOO KIM,한국
2008,부산,20040066,2,김창수,CHANG SOO KIM,한국
2007,대전,20040066,2,김창수,CHANG SOO KIM,한국
2006,대전,20040066,2,김창수,CHANG SOO KIM,한국
2004,울산,20040066,2,김창수,CHANG SOO KIM,한국
2021,울산,20040081,72,이청용,Chungyong LEE,한국
2020,울산,20040081,72,이청용,Chungyong LEE,한국
2009,서울,20040081,72,이청용,Chungyong LEE,한국
2008,서울,20040081,72,이청용,Chungyong LEE,한국
2007,서울,20040081,72,이청용,Chungyong LEE,한국
2006,서울,20040081,72,이청용,Chungyong LEE,한국
2004,서울,20040081,72,이청용,Chungyong LEE,한국
2021,서울,20040082,13,고요한,Yohan GO,한국
2020,서울,20040082,13,고요한,Yohan GO,한국
2019,서울,20040082,13,고요한,Yohan GO,한국
2018,서울,20040082,13,고요한,Yohan GO,한국
2017,서울,20040082,13,고요한,Yohan GO,한국
2016,서울,20040082,13,고요한,Yohan GO,한국
2015,서울,20040082,13,고요한,Yohan GO,한국
2014,서울,20040082,13,고요한,Yohan GO,한국
2013,서울,20040082,13,고요한,Yohan GO,한국
2012,서울,20040082,13,고요한,Yohan GO,한국
2011,서울,20040082,13,고요한,Yohan GO,한국
2010,서울,20040082,13,고요한,Yohan GO,한국
2009,서울,20040082,13,고요한,Yohan GO,한국
2008,서울,20040082,13,고요한,Yohan GO,한국
2007,서울,20040082,13,고요한,Yohan GO,한국
2006,서울,20040082,13,고요한,Yohan GO,한국
2021,인천,20040089,4,강민수,MINSOO KANG,한국
2020,부산,20040089,4,강민수,MINSOO KANG,한국
2019,울산,20040089,4,강민수,MINSOO KANG,한국
2018,울산,20040089,4,강민수,MINSOO KANG,한국
2017,울산,20040089,4,강민수,MINSOO KANG,한국
2016,울산,20040089,4,강민수,MINSOO KANG,한국
2015,상주,20040089,4,강민수,MINSOO KANG,한국
2014,상주,20040089,4,강민수,MINSOO KANG,한국
2013,울산,20040089,4,강민수,MINSOO KANG,한국
2012,울산,20040089,4,강민수,MINSOO KANG,한국
2011,울산,20040089,4,강민수,MINSOO KANG,한국
2010,수원,20040089,4,강민수,MINSOO KANG,한국
2009,제주,20040089,4,강민수,MINSOO KANG,한국
2008,전북,20040089,4,강민수,MINSOO KANG,한국
2007,전남,20040089,4,강민수,MINSOO KANG,한국
2006,전남,20040089,4,강민수,MINSOO KANG,한국
2005,전남,20040089,4,강민수,MINSOO KANG,한국
2021,수원,20050001,3,양상민,Sangmin YANG,한국
2020,수원,20050001,3,양상민,Sangmin YANG,한국
2019,수원,20050001,3,양상민,Sangmin YANG,한국
2018,수원,20050001,3,양상민,Sangmin YANG,한국
2017,수원,20050001,3,양상민,Sangmin YANG,한국
2016,수원,20050001,3,양상민,Sangmin YANG,한국
2015,수원,20050001,3,양상민,Sangmin YANG,한국
2014,수원,20050001,3,양상민,Sangmin YANG,한국
2013,경찰,20050001,3,양상민,Sangmin YANG,한국
2012,수원,20050001,3,양상민,Sangmin YANG,한국
2011,수원,20050001,3,양상민,Sangmin YANG,한국
2010,수원,20050001,3,양상민,Sangmin YANG,한국
2009,수원,20050001,3,양상민,Sangmin YANG,한국
2008,수원,20050001,3,양상민,Sangmin YANG,한국
2007,수원,20050001,3,양상민,Sangmin YANG,한국
2006,전남,20050001,3,양상민,Sangmin YANG,한국
2005,전남,20050001,3,양상민,Sangmin YANG,한국
2021,수원FC,20050073,18,양동현,Donghyen YANG,한국
2020,성남,20050073,18,양동현,Donghyen YANG,한국
2017,포항,20050073,18,양동현,Donghyen YANG,한국
2016,포항,20050073,18,양동현,Donghyen YANG,한국
2015,울산,20050073,18,양동현,Donghyen YANG,한국
2014,울산,20050073,18,양동현,Donghyen YANG,한국
2013,부산,20050073,18,양동현,Donghyen YANG,한국
2011,부산,20050073,18,양동현,Donghyen YANG,한국
2010,부산,20050073,18,양동현,Donghyen YANG,한국
2009,부산,20050073,18,양동현,Donghyen YANG,한국
2008,울산,20050073,18,양동현,Donghyen YANG,한국
2007,울산,20050073,18,양동현,Donghyen YANG,한국
2006,울산,20050073,18,양동현,Donghyen YANG,한국
2005,울산,20050073,18,양동현,Donghyen YANG,한국
2021,안양,20050077,1,양동원,Dongwon YANG,한국
2020,안양,20050077,1,양동원,Dongwon YANG,한국
2019,안양,20050077,1,양동원,Dongwon YANG,한국
2018,안양,20050077,1,양동원,Dongwon YANG,한국
2017,성남,20050077,1,양동원,Dongwon YANG,한국
2016,강원,20050077,1,양동원,Dongwon YANG,한국
2015,상주,20050077,1,양동원,Dongwon YANG,한국
2014,강원,20050077,1,양동원,Dongwon YANG,한국
2013,수원,20050077,1,양동원,Dongwon YANG,한국
2012,수원,20050077,1,양동원,Dongwon YANG,한국
2011,수원,20050077,1,양동원,Dongwon YANG,한국
2010,대전,20050077,1,양동원,Dongwon YANG,한국
2009,대전,20050077,1,양동원,Dongwon YANG,한국
2008,대전,20050077,1,양동원,Dongwon YANG,한국
2007,대전,20050077,1,양동원,Dongwon YANG,한국
2006,대전,20050077,1,양동원,Dongwon YANG,한국
2005,대전,20050077,1,양동원,Dongwon YANG,한국
2021,서울,20050094,10,박주영,Chuyoung PARK,한국
2020,서울,20050094,10,박주영,Chuyoung PARK,한국
2019,서울,20050094,10,박주영,Chuyoung PARK,한국
2018,서울,20050094,10,박주영,Chuyoung PARK,한국
2017,서울,20050094,10,박주영,Chuyoung PARK,한국
2016,서울,20050094,10,박주영,Chuyoung PARK,한국
2015,서울,20050094,10,박주영,Chuyoung PARK,한국
2008,서울,20050094,10,박주영,Chuyoung PARK,한국
2007,서울,20050094,10,박주영,Chuyoung PARK,한국
2006,서울,20050094,10,박주영,Chuyoung PARK,한국
2005,서울,20050094,10,박주영,Chuyoung PARK,한국
2021,부천,20050096,38,김호준,Hojun KIM,한국
2020,부산,20050096,38,김호준,Hojun KIM,한국
2019,강원,20050096,38,김호준,Hojun KIM,한국
2018,강원,20050096,38,김호준,Hojun KIM,한국
2017,제주,20050096,38,김호준,Hojun KIM,한국
2016,제주,20050096,38,김호준,Hojun KIM,한국
2015,제주,20050096,38,김호준,Hojun KIM,한국
2014,제주,20050096,38,김호준,Hojun KIM,한국
2013,상주,20050096,38,김호준,Hojun KIM,한국
2012,상주,20050096,38,김호준,Hojun KIM,한국
2011,제주,20050096,38,김호준,Hojun KIM,한국
2010,제주,20050096,38,김호준,Hojun KIM,한국
2009,서울,20050096,38,김호준,Hojun KIM,한국
2008,서울,20050096,38,김호준,Hojun KIM,한국
2007,서울,20050096,38,김호준,Hojun KIM,한국
2005,서울,20050096,38,김호준,Hojun KIM,한국
2021,전북,20060011,25,최철순,Chulsoon CHOI,한국
2020,전북,20060011,25,최철순,Chulsoon CHOI,한국
2019,전북,20060011,25,최철순,Chulsoon CHOI,한국
2018,전북,20060011,25,최철순,Chulsoon CHOI,한국
2017,전북,20060011,25,최철순,Chulsoon CHOI,한국
2016,전북,20060011,25,최철순,Chulsoon CHOI,한국
2015,전북,20060011,25,최철순,Chulsoon CHOI,한국
2014,전북,20060011,25,최철순,Chulsoon CHOI,한국
2013,상주,20060011,25,최철순,Chulsoon CHOI,한국
2012,상주,20060011,25,최철순,Chulsoon CHOI,한국
2011,전북,20060011,25,최철순,Chulsoon CHOI,한국
2010,전북,20060011,25,최철순,Chulsoon CHOI,한국
2009,전북,20060011,25,최철순,Chulsoon CHOI,한국
2008,전북,20060011,25,최철순,Chulsoon CHOI,한국
2007,전북,20060011,25,최철순,Chulsoon CHOI,한국
2006,전북,20060011,25,최철순,Chulsoon CHOI,한국
2021,수원,20060013,26,염기훈,Kihun YEOM,한국
2020,수원,20060013,26,염기훈,Kihun YEOM,한국
2019,수원,20060013,26,염기훈,Kihun YEOM,한국
2018,수원,20060013,26,염기훈,Kihun YEOM,한국
2017,수원,20060013,26,염기훈,Kihun YEOM,한국
2016,수원,20060013,26,염기훈,Kihun YEOM,한국
2015,수원,20060013,26,염기훈,Kihun YEOM,한국
2014,수원,20060013,26,염기훈,Kihun YEOM,한국
2013,수원,20060013,26,염기훈,Kihun YEOM,한국
2011,수원,20060013,26,염기훈,Kihun YEOM,한국
2010,수원,20060013,26,염기훈,Kihun YEOM,한국
2009,울산,20060013,26,염기훈,Kihun YEOM,한국
2008,울산,20060013,26,염기훈,Kihun YEOM,한국
2007,울산,20060013,26,염기훈,Kihun YEOM,한국
2006,전북,20060013,26,염기훈,Kihun YEOM,한국
2021,포항,20060066,17,신광훈,Kwanghoon SHIN,한국
2020,강원,20060066,17,신광훈,Kwanghoon SHIN,한국
2019,강원,20060066,17,신광훈,Kwanghoon SHIN,한국
2018,서울,20060066,17,신광훈,Kwanghoon SHIN,한국
2017,서울,20060066,17,신광훈,Kwanghoon SHIN,한국
2016,포항,20060066,17,신광훈,Kwanghoon SHIN,한국
2015,안산,20060066,17,신광훈,Kwanghoon SHIN,한국
2014,포항,20060066,17,신광훈,Kwanghoon SHIN,한국
2013,포항,20060066,17,신광훈,Kwanghoon SHIN,한국
2012,포항,20060066,17,신광훈,Kwanghoon SHIN,한국
2011,포항,20060066,17,신광훈,Kwanghoon SHIN,한국
2010,포항,20060066,17,신광훈,Kwanghoon SHIN,한국
2009,전북,20060066,17,신광훈,Kwanghoon SHIN,한국
2008,전북,20060066,17,신광훈,Kwanghoon SHIN,한국
2007,포항,20060066,17,신광훈,Kwanghoon SHIN,한국
2006,포항,20060066,17,신광훈,Kwanghoon SHIN,한국
2021,서울,20060073,8,기성용,Sungyueng KI,한국
2020,서울,20060073,8,기성용,Sungyueng KI,한국
2009,서울,20060073,8,기성용,Sungyueng KI,한국
2008,서울,20060073,8,기성용,Sungyueng KI,한국
2007,서울,20060073,8,기성용,Sungyueng KI,한국
2006,서울,20060073,8,기성용,Sungyueng KI,한국
2021,서울E,20070003,80,이규로,Kyuro LEE,한국
2020,대전,20070003,80,이규로,Kyuro LEE,한국
2017,서울,20070003,80,이규로,Kyuro LEE,한국
2016,서울,20070003,80,이규로,Kyuro LEE,한국
2015,전북,20070003,80,이규로,Kyuro LEE,한국
2014,전북,20070003,80,이규로,Kyuro LEE,한국
2013,전북,20070003,80,이규로,Kyuro LEE,한국
2012,인천,20070003,80,이규로,Kyuro LEE,한국
2011,서울,20070003,80,이규로,Kyuro LEE,한국
2010,서울,20070003,80,이규로,Kyuro LEE,한국
2009,전남,20070003,80,이규로,Kyuro LEE,한국
2008,전남,20070003,80,이규로,Kyuro LEE,한국
2007,전남,20070003,80,이규로,Kyuro LEE,한국
2021,안산,20070043,87,강수일,Sooil KANG,한국
2015,제주,20070043,87,강수일,Sooil KANG,한국
2014,포항,20070043,87,강수일,Sooil KANG,한국
2013,제주,20070043,87,강수일,Sooil KANG,한국
2012,제주,20070043,87,강수일,Sooil KANG,한국
2011,제주,20070043,87,강수일,Sooil KANG,한국
2010,인천,20070043,87,강수일,Sooil KANG,한국
2009,인천,20070043,87,강수일,Sooil KANG,한국
2008,인천,20070043,87,강수일,Sooil KANG,한국
2007,인천,20070043,87,강수일,Sooil KANG,한국
2013,성남,20070044,14,김선우,"Kim, Sun Woo",한국
2012,포항,20070044,14,김선우,"Kim, Sun Woo",한국
2011,포항,20070044,14,김선우,"Kim, Sun Woo",한국
2008,인천,20070044,14,김선우,"Kim, Sun Woo",한국
2007,인천,20070044,14,김선우,"Kim, Sun Woo",한국
2007,대구,20070088,15,정호진,"Jung, Ho Jin",한국
2021,안양,20080010,2,정준연,Junyeon JEONG,한국
2020,광주,20080010,2,정준연,Junyeon JEONG,한국
2019,광주,20080010,2,정준연,Junyeon JEONG,한국
2018,광주,20080010,2,정준연,Junyeon JEONG,한국
2017,광주,20080010,2,정준연,Junyeon JEONG,한국
2016,상주,20080010,2,정준연,Junyeon JEONG,한국
2015,광주,20080010,2,정준연,Junyeon JEONG,한국
2014,광주,20080010,2,정준연,Junyeon JEONG,한국
2013,전남,20080010,2,정준연,Junyeon JEONG,한국
2012,전남,20080010,2,정준연,Junyeon JEONG,한국
2011,전남,20080010,2,정준연,Junyeon JEONG,한국
2010,전남,20080010,2,정준연,Junyeon JEONG,한국
2009,전남,20080010,2,정준연,Junyeon JEONG,한국
2008,전남,20080010,2,정준연,Junyeon JEONG,한국
2021,부천,20080011,10,조범석,Beomseok CHO,한국
2020,부천,20080011,10,조범석,Beomseok CHO,한국
2019,부천,20080011,10,조범석,Beomseok CHO,한국
2018,아산,20080011,10,조범석,Beomseok CHO,한국
2017,부천,20080011,10,조범석,Beomseok CHO,한국
2016,부천,20080011,10,조범석,Beomseok CHO,한국
2011,인천,20080011,10,조범석,Beomseok CHO,한국
2021,울산,20080015,20,신형민,SHIN Hyungmin,한국
2020,전북,20080015,20,신형민,SHIN Hyungmin,한국
2019,전북,20080015,20,신형민,SHIN Hyungmin,한국
2018,전북,20080015,20,신형민,SHIN Hyungmin,한국
2017,전북,20080015,20,신형민,SHIN Hyungmin,한국
2016,전북,20080015,20,신형민,SHIN Hyungmin,한국
2015,안산,20080015,20,신형민,SHIN Hyungmin,한국
2014,전북,20080015,20,신형민,SHIN Hyungmin,한국
2012,포항,20080015,20,신형민,SHIN Hyungmin,한국
2011,포항,20080015,20,신형민,SHIN Hyungmin,한국
2010,포항,20080015,20,신형민,SHIN Hyungmin,한국
2009,포항,20080015,20,신형민,SHIN Hyungmin,한국
2008,포항,20080015,20,신형민,SHIN Hyungmin,한국
2021,전북,20080039,1,이범영,Bumyoung LEE,한국
2020,전북,20080039,1,이범영,Bumyoung LEE,한국
2018,강원,20080039,1,이범영,Bumyoung LEE,한국
2017,강원,20080039,1,이범영,Bumyoung LEE,한국
2015,부산,20080039,1,이범영,Bumyoung LEE,한국
2014,부산,20080039,1,이범영,Bumyoung LEE,한국
2013,부산,20080039,1,이범영,Bumyoung LEE,한국
2012,부산,20080039,1,이범영,Bumyoung LEE,한국
2011,부산,20080039,1,이범영,Bumyoung LEE,한국
2010,부산,20080039,1,이범영,Bumyoung LEE,한국
2009,부산,20080039,1,이범영,Bumyoung LEE,한국
2008,부산,20080039,1,이범영,Bumyoung LEE,한국
2021,울산,20080055,1,조수혁,JO Suhuk,한국
2020,울산,20080055,1,조수혁,JO Suhuk,한국
2019,울산,20080055,1,조수혁,JO Suhuk,한국
2018,울산,20080055,1,조수혁,JO Suhuk,한국
2017,울산,20080055,1,조수혁,JO Suhuk,한국
2016,인천,20080055,1,조수혁,JO Suhuk,한국
2015,인천,20080055,1,조수혁,JO Suhuk,한국
2014,인천,20080055,1,조수혁,JO Suhuk,한국
2013,인천,20080055,1,조수혁,JO Suhuk,한국
2012,서울,20080055,1,조수혁,JO Suhuk,한국
2011,서울,20080055,1,조수혁,JO Suhuk,한국
2010,서울,20080055,1,조수혁,JO Suhuk,한국
2008,서울,20080055,1,조수혁,JO Suhuk,한국
2021,성남,20090018,9,김현성,Hyunsung KIM,한국
2020,성남,20090018,9,김현성,Hyunsung KIM,한국
2019,성남,20090018,9,김현성,Hyunsung KIM,한국
2018,부산,20090018,9,김현성,Hyunsung KIM,한국
2017,부산,20090018,9,김현성,Hyunsung KIM,한국
2016,부산,20090018,9,김현성,Hyunsung KIM,한국
2015,서울,20090018,9,김현성,Hyunsung KIM,한국
2014,서울,20090018,9,김현성,Hyunsung KIM,한국
2013,서울,20090018,9,김현성,Hyunsung KIM,한국
2012,서울,20090018,9,김현성,Hyunsung KIM,한국
2011,대구,20090018,9,김현성,Hyunsung KIM,한국
2010,대구,20090018,9,김현성,Hyunsung KIM,한국
2021,울산,20090025,36,임종은,Jongeun LIM,한국
2018,울산,20090025,36,임종은,Jongeun LIM,한국
2017,전북,20090025,36,임종은,Jongeun LIM,한국
2016,전북,20090025,36,임종은,Jongeun LIM,한국
2015,전남,20090025,36,임종은,Jongeun LIM,한국
2014,전남,20090025,36,임종은,Jongeun LIM,한국
2013,전남,20090025,36,임종은,Jongeun LIM,한국
2012,성남,20090025,36,임종은,Jongeun LIM,한국
2009,울산,20090025,36,임종은,Jongeun LIM,한국
2021,포항,20090031,77,임상협,Sanghyub LIM,한국
2020,수원,20090031,77,임상협,Sanghyub LIM,한국
2019,제주,20090031,77,임상협,Sanghyub LIM,한국
2018,수원,20090031,77,임상협,Sanghyub LIM,한국
2017,부산,20090031,77,임상협,Sanghyub LIM,한국
2016,부산,20090031,77,임상협,Sanghyub LIM,한국
2015,상주,20090031,77,임상협,Sanghyub LIM,한국
2014,부산,20090031,77,임상협,Sanghyub LIM,한국
2013,부산,20090031,77,임상협,Sanghyub LIM,한국
2012,부산,20090031,77,임상협,Sanghyub LIM,한국
2011,부산,20090031,77,임상협,Sanghyub LIM,한국
2010,전북,20090031,77,임상협,Sanghyub LIM,한국
2009,전북,20090031,77,임상협,Sanghyub LIM,한국
2021,인천,20090064,28,정혁,HYUK JUNG,한국
2020,경남,20090064,28,정혁,HYUK JUNG,한국
2019,전북,20090064,28,정혁,HYUK JUNG,한국
2018,전북,20090064,28,정혁,HYUK JUNG,한국
2017,전북,20090064,28,정혁,HYUK JUNG,한국
2016,전북,20090064,28,정혁,HYUK JUNG,한국
2015,안산,20090064,28,정혁,HYUK JUNG,한국
2014,전북,20090064,28,정혁,HYUK JUNG,한국
2013,전북,20090064,28,정혁,HYUK JUNG,한국
2012,인천,20090064,28,정혁,HYUK JUNG,한국
2011,인천,20090064,28,정혁,HYUK JUNG,한국
2010,인천,20090064,28,정혁,HYUK JUNG,한국
2009,인천,20090064,28,정혁,HYUK JUNG,한국
2021,대구,20090076,74,이용래,Yongrae LEE,한국
2017,수원,20090076,74,이용래,Yongrae LEE,한국
2016,수원,20090076,74,이용래,Yongrae LEE,한국
2015,안산,20090076,74,이용래,Yongrae LEE,한국
2014,안산,20090076,74,이용래,Yongrae LEE,한국
2013,수원,20090076,74,이용래,Yongrae LEE,한국
2012,수원,20090076,74,이용래,Yongrae LEE,한국
2011,수원,20090076,74,이용래,Yongrae LEE,한국
2010,경남,20090076,74,이용래,Yongrae LEE,한국
2009,경남,20090076,74,이용래,Yongrae LEE,한국
2021,강원,20090093,7,윤석영,YUN Sukyoung,한국
2020,부산,20090093,7,윤석영,YUN Sukyoung,한국
2019,강원,20090093,7,윤석영,YUN Sukyoung,한국
2018,서울,20090093,7,윤석영,YUN Sukyoung,한국
2012,전남,20090093,7,윤석영,YUN Sukyoung,한국
2011,전남,20090093,7,윤석영,YUN Sukyoung,한국
2010,전남,20090093,7,윤석영,YUN Sukyoung,한국
2009,전남,20090093,7,윤석영,YUN Sukyoung,한국
2021,서울E,20090109,10,김민균,Minkyun KIM,한국
2020,서울E,20090109,10,김민균,Minkyun KIM,한국
2019,서울E,20090109,10,김민균,Minkyun KIM,한국
2018,아산,20090109,10,김민균,Minkyun KIM,한국
2017,아산,20090109,10,김민균,Minkyun KIM,한국
2016,안양,20090109,10,김민균,Minkyun KIM,한국
2014,울산,20090109,10,김민균,Minkyun KIM,한국
2010,대구,20090109,10,김민균,Minkyun KIM,한국
2009,대구,20090109,10,김민균,Minkyun KIM,한국
2021,울산,20090125,18,김성준,KIM Sungjoon,한국
2020,울산,20090125,18,김성준,KIM Sungjoon,한국
2019,울산,20090125,18,김성준,KIM Sungjoon,한국
2018,서울,20090125,18,김성준,KIM Sungjoon,한국
2017,상주,20090125,18,김성준,KIM Sungjoon,한국
2016,상주,20090125,18,김성준,KIM Sungjoon,한국
2015,성남,20090125,18,김성준,KIM Sungjoon,한국
2014,성남,20090125,18,김성준,KIM Sungjoon,한국
2013,성남,20090125,18,김성준,KIM Sungjoon,한국
2012,성남,20090125,18,김성준,KIM Sungjoon,한국
2011,대전,20090125,18,김성준,KIM Sungjoon,한국
2010,대전,20090125,18,김성준,KIM Sungjoon,한국
2009,대전,20090125,18,김성준,KIM Sungjoon,한국
2021,수원FC,20090138,51,유현,Hyun YOO,한국
2020,수원FC,20090138,51,유현,Hyun YOO,한국
2018,서울,20090138,51,유현,Hyun YOO,한국
2017,서울,20090138,51,유현,Hyun YOO,한국
2016,서울,20090138,51,유현,Hyun YOO,한국
2015,인천,20090138,51,유현,Hyun YOO,한국
2014,인천,20090138,51,유현,Hyun YOO,한국
2013,경찰,20090138,51,유현,Hyun YOO,한국
2012,인천,20090138,51,유현,Hyun YOO,한국
2011,강원,20090138,51,유현,Hyun YOO,한국
2010,강원,20090138,51,유현,Hyun YOO,한국
2009,강원,20090138,51,유현,Hyun YOO,한국
2021,광주,20090140,22,곽광선,Kwangsun KWAK,한국
2020,전남,20090140,22,곽광선,Kwangsun KWAK,한국
2019,전남,20090140,22,곽광선,Kwangsun KWAK,한국
2018,수원,20090140,22,곽광선,Kwangsun KWAK,한국
2017,수원,20090140,22,곽광선,Kwangsun KWAK,한국
2016,수원,20090140,22,곽광선,Kwangsun KWAK,한국
2015,상주,20090140,22,곽광선,Kwangsun KWAK,한국
2014,상주,20090140,22,곽광선,Kwangsun KWAK,한국
2013,수원,20090140,22,곽광선,Kwangsun KWAK,한국
2012,수원,20090140,22,곽광선,Kwangsun KWAK,한국
2011,강원,20090140,22,곽광선,Kwangsun KWAK,한국
2010,강원,20090140,22,곽광선,Kwangsun KWAK,한국
2009,강원,20090140,22,곽광선,Kwangsun KWAK,한국
2021,성남,20090147,7,권순형,Soonhyung KWON,한국
2020,성남,20090147,7,권순형,Soonhyung KWON,한국
2019,제주,20090147,7,권순형,Soonhyung KWON,한국
2018,제주,20090147,7,권순형,Soonhyung KWON,한국
2017,제주,20090147,7,권순형,Soonhyung KWON,한국
2016,제주,20090147,7,권순형,Soonhyung KWON,한국
2015,제주,20090147,7,권순형,Soonhyung KWON,한국
2014,상주,20090147,7,권순형,Soonhyung KWON,한국
2013,제주,20090147,7,권순형,Soonhyung KWON,한국
2012,제주,20090147,7,권순형,Soonhyung KWON,한국
2011,강원,20090147,7,권순형,Soonhyung KWON,한국
2010,강원,20090147,7,권순형,Soonhyung KWON,한국
